[20253.728412] 2131:22f
[20253.728417] 2209:22f
[20253.728422] 1550:22f
[20253.728426] 1491:22f
[20253.728431] 1249:22f
[20253.728436] 1590:22f
[20253.728440] 1550:22f
[20253.728445] 1728:18f
[20253.728450] 3906:22f
[20253.728454] 981:22f
[20253.728459] 1546:22f
[20253.728464] 1730:22f
[20253.728469] 1265:22f
[20253.728473] 968:22f
[20253.728478] 1651:22f
[20253.728483] 1809:22f
[20253.728487] 1070:22f
[20253.728492] 2113:22f
[20253.728497] 1287:22f
[20253.728502] 1097:22f
[20253.728506] 573:18f
[20253.728511] 3905:22f
[20253.728515] 975:22f
[20253.728520] 1217:22f
[20253.728525] 1237:22f
[20253.728530] 1885:22f
[20253.728534] 1027:22f
[20253.728539] 1252:22f
[20253.728544] 1811:22f
[20253.728548] 1812:22f
[20253.728553] 1327:22f
[20253.728558] 1371:22f
[20253.728562] 1344:22f
[20253.728567] 832:18f
[20253.728572] 4056:22f
[20253.728576] 970:22f
[20253.728581] 5758:22f
[20253.728586] 2280:22f
[20253.728590] 2752:22f
[20253.728595] 4179:18f
[20253.728600] 3933:22f
[20253.728604] 966:22f
[20253.728609] 2171:22f
[20253.728614] 1462:22f
[20253.728619] 1860:22f
[20253.728623] 2028:22f
[20253.728628] 2075:22f
[20253.728633] 1066:22f
[20253.728637] 1933:22f
[20253.728642] 1402:22f
[20253.728647] 1100:18f
[20253.728651] 3906:22f
[20253.728656] 968:22f
[20253.728661] 1950:22f
[20253.728665] 1610:22f
[20253.728670] 1588:22f
[20253.728675] 1193:22f
